,name,categories,distance,latitude,longitude,address,rating
0,Radical Road Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'bars', 'title': 'Bars'}]",9.369659761303812,43.6626325991479,-79.3324785413321,1177 Queen Street E,4.5
1,Cloak & Dagger Irish Pub,"[{'alias': 'pubs', 'title': 'Pubs'}]",13.627565787000568,43.65714,-79.40571,394 College Street,3.5
2,Grey Gardens,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",16.64436170083894,43.6537999,-79.40143,199 Augusta Avenue,4.5
3,LCBO - Chinatown,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",21.358569786766576,43.65485,-79.39828,335 Spadina Ave,2.5
4,The Black Bull,"[{'alias': 'bars', 'title': 'Bars'}]",24.3435161885127,43.64975,-79.3932899,298 Queen Street W,2.5
5,Pharmacy Bar,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",27.32086725194836,43.638166,-79.4316941,1318 King Street W,4.5
6,SOCO Kitchen + Bar,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",27.759402237705874,43.6426531322953,-79.3838465349876,75 Lower Simcoe Street,3.5
7,Avling Kitchen & Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",28.05174873529354,43.66174,-79.33823,1042 Queen Street E,4.5
8,The Rec Room,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",30.378331750715144,43.64125720750635,-79.38677926085168,255 Bremner Boulevard,3.0
9,LCBO,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",33.17828995625759,43.6563923616084,-79.3814885616302,595 Bay Street,3.0
10,The 3 Brewers,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",33.455414705302246,43.65551,-79.38027,275 Yonge St,3.0
11,Hair of the Dog,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",36.11286429240823,43.662946823805,-79.379592870241,425 Church Street,4.0
