,fsq_id,categories,chains,distance,link,name,timezone,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.name
0,58d4650e2f91cb5ccec03447,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],194,/v3/places/58d4650e2f91cb5ccec03447,Rorschach Brewing,America/Toronto,43.663731,-79.319985,43.663372,-79.319902,43.663372,-79.319902,1001 Eastern Ave,CA,Woodfield Rd,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Toronto,M4L 1A8,ON,,,,
1,5b3af4f125fb7b0039f9f588,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],842,/v3/places/5b3af4f125fb7b0039f9f588,Black Lab Brewing,America/Toronto,43.661654,-79.329013,43.661871,-79.329063,43.661871,-79.329063,818 Eastern Ave,CA,Leslie Street,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",Toronto,M4L 1A1,ON,,,,
2,5957bd26d1a40251f53875e5,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],804,/v3/places/5957bd26d1a40251f53875e5,Godspeed Brewery,America/Toronto,,,43.672563,-79.319341,43.672563,-79.319341,242 Coxwell Ave,CA,at Gerrard St E,"242 Coxwell Ave (at Gerrard St E), Toronto ON M4L 3B2",Toronto,M4L 3B2,ON,,,,
3,998185563f6522583c7fcbd5,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],754,/v3/places/998185563f6522583c7fcbd5,Billye Madden,,43.661885,-79.328024,43.662055,-79.328064,,,818 Eastern Ave,CA,,"818 Eastern Ave, Toronto ON M4L 1A1",Toronto,M4L 1A1,ON,# 1,,,
4,573f3b4b498ebf4b4faf407e,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",7382,/v3/places/573f3b4b498ebf4b4faf407e,Beer Store,America/Toronto,,,43.663492,-79.328384,43.663492,-79.328384,761 Queen St W,CA,,"761 Queen St W, Toronto ON M6J 1G1",Toronto,M6J 1G1,ON,,,,
5,568333d5498e400ae0f1a732,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],774,/v3/places/568333d5498e400ae0f1a732,Blood Brothers Brewing,America/Toronto,,,43.669939,-79.436128,43.669939,-79.436128,165 Geary Ave,CA,at Barlett Ave N,"165 Geary Ave (at Barlett Ave N), Toronto ON M6H 2B8",Toronto,M6H 2B8,ON,,,,
6,541477e2498ea7bb8c03b01f,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],781,/v3/places/541477e2498ea7bb8c03b01f,Indie Alehouse Barrel House,America/Toronto,43.670061,-79.436291,43.669873,-79.436257,43.669873,-79.436257,165 Geary Ave,CA,Bartlett Avenue,"165 Geary Ave (Bartlett Avenue), Toronto ON M6H 2B8",Toronto,M6H 2B8,ON,,,,
7,62cc3af35e38597cd58705cf,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],824,/v3/places/62cc3af35e38597cd58705cf,True History Brewing,America/Toronto,,,43.678423,-79.442213,43.678423,-79.442213,1154 St Clair Ave W,CA,Westmount Ave,"1154 St Clair Ave W (Westmount Ave), Toronto ON M6E 1B3",Toronto,M6E 1B3,ON,,,,
8,5738c13d498ed8ebd7419481,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13050, 'name': 'Distillery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],905,/v3/places/5738c13d498ed8ebd7419481,Yongehurst Distillery Co,America/Toronto,43.670839,-79.434539,43.670772,-79.434718,43.670772,-79.434718,346 Westmoreland Ave N,CA,,"346 Westmoreland Ave N, Toronto ON",Toronto,,ON,,,,
9,5753753b498eeb535c53aed5,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",[],581,/v3/places/5753753b498eeb535c53aed5,The Greater Good Bar,America/Toronto,43.669476,-79.439195,43.669324,-79.439163,43.669324,-79.439163,229 Geary Ave,CA,at Dufferin St,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Toronto,M6H 2C1,ON,,"[{'fsq_id': '5998aa934940bc4de5bfdaca', 'name': 'North of Brooklyn Pizzeria'}]",,
10,4bc901e6b6c49c748fac8d91,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",705,/v3/places/4bc901e6b6c49c748fac8d91,Beer Store,America/Toronto,,,43.666383,-79.45099,43.666383,-79.45099,323 Symington Ave,CA,at Dupont St,"323 Symington Ave (at Dupont St), Toronto ON M6P 3X1",Toronto,M6P 3X1,ON,,,,
11,60dcaf699848663301ac8fce,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]",[],648,/v3/places/60dcaf699848663301ac8fce,Toronto Brewing,America/Toronto,43.669685,-79.438151,43.669458,-79.438108,43.669458,-79.438108,211 Geary Ave,CA,,"211 Geary Ave, Toronto ON M6H 2C1",Toronto,M6H 2C1,ON,,,,
12,58d4650e2f91cb5ccec03447,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],349,/v3/places/58d4650e2f91cb5ccec03447,Rorschach Brewing,America/Toronto,43.663731,-79.319985,43.663372,-79.319902,43.663372,-79.319902,1001 Eastern Ave,CA,Woodfield Rd,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Toronto,M4L 1A8,ON,,,,
13,5957bd26d1a40251f53875e5,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],709,/v3/places/5957bd26d1a40251f53875e5,Godspeed Brewery,America/Toronto,,,43.672563,-79.319341,43.672563,-79.319341,242 Coxwell Ave,CA,at Gerrard St E,"242 Coxwell Ave (at Gerrard St E), Toronto ON M4L 3B2",Toronto,M4L 3B2,ON,,,,
14,998185563f6522583c7fcbd5,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],953,/v3/places/998185563f6522583c7fcbd5,Billye Madden,,43.661885,-79.328024,43.662055,-79.328064,,,818 Eastern Ave,CA,,"818 Eastern Ave, Toronto ON M4L 1A1",Toronto,M4L 1A1,ON,# 1,,,
15,573f3b4b498ebf4b4faf407e,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",7575,/v3/places/573f3b4b498ebf4b4faf407e,Beer Store,America/Toronto,,,43.663492,-79.328384,43.663492,-79.328384,761 Queen St W,CA,,"761 Queen St W, Toronto ON M6J 1G1",Toronto,M6J 1G1,ON,,,,
