,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,8bskEwLJsPe2X3Avixab-Q,rorschach-brewing-company-toronto,Rorschach Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/tlOCPnoL95n2EgwO6JObkQ/o.jpg,False,https://www.yelp.com/biz/rorschach-brewing-company-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,67,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",4.0,[],$$,+14169013233,+1 416-901-3233,204.91536674798692,43.66348,-79.31988,1001 Eastern Avenue,,,Toronto,M4L 1A8,CA,ON,"['1001 Eastern Avenue', 'Toronto, ON M4L 1A8', 'Canada']"
1,-BAUrljU90RNV-hkokLhXA,godspeed-brewery-toronto,Godspeed Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/h2-o_DepyeNWwTmjChyGwQ/o.jpg,False,https://www.yelp.com/biz/godspeed-brewery-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,61,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],$$,+14165512282,+1 416-551-2282,823.3751267058137,43.6726566500705,-79.3190997093916,242 Coxwell Avenue,,,Toronto,M4L 3B2,CA,ON,"['242 Coxwell Avenue', 'Toronto, ON M4L 3B2', 'Canada']"
2,-Py4QGu7Z2MaN7IZkwKQfg,left-field-brewery-toronto,Left Field Brewery,https://s3-media2.fl.yelpcdn.com/bphoto/93WDt7jaZn97XQcu0RF1pg/o.jpg,False,https://www.yelp.com/biz/left-field-brewery-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,61,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],$,+16473465001,+1 647-346-5001,1273.9238613461391,43.67379,-79.3304825,36 Wagstaff Drive,,,Toronto,M4L 2H7,CA,ON,"['36 Wagstaff Drive', 'Toronto, ON M4L 2H7', 'Canada']"
3,u5Yk1uwvvoSGjyqEySjNVQ,black-lab-brewing-toronto-2,Black Lab Brewing,https://s3-media2.fl.yelpcdn.com/bphoto/hIOajfAxg_olwgZ0MPJseA/o.jpg,False,https://www.yelp.com/biz/black-lab-brewing-toronto-2?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,25,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.5,[],$$,+16473522525,+1 647-352-2525,825.6439983793505,43.661923,-79.328959,818 Eastern Avenue,,,Toronto,M4L 1A1,CA,ON,"['818 Eastern Avenue', 'Toronto, ON M4L 1A1', 'Canada']"
4,yP71_LfUPnGIRqA2g09RoQ,lake-inez-toronto,Lake Inez,https://s3-media3.fl.yelpcdn.com/bphoto/vg38w5SFLek-KtR1I49DvQ/o.jpg,False,https://www.yelp.com/biz/lake-inez-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,95,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,[],$$$,,,794.6619550133811,43.67234,-79.32064,1471 Gerrard Street E,,,Toronto,M4L 2A1,CA,ON,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']"
5,Z1r6b30Tg0n0ME4-Zj2wQQ,boardwalk-place-toronto,Boardwalk Place,https://s3-media2.fl.yelpcdn.com/bphoto/KaTLsiBtPdAN62Fo-2Otmw/o.jpg,False,https://www.yelp.com/biz/boardwalk-place-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,15,"[{'alias': 'pubs', 'title': 'Pubs'}]",2.5,[],$$,+14166948844,+1 416-694-8844,758.5673987733968,43.6630096,-79.3108978,1675 Lake Shore Boulevard E,,,Toronto,M4W 3L6,CA,ON,"['1675 Lake Shore Boulevard E', 'Toronto, ON M4W 3L6', 'Canada']"
6,O-QzKFXawEOiJmonWgvKbQ,le-conciliabule-toronto,Le Conciliabule,https://s3-media4.fl.yelpcdn.com/bphoto/lkwBPARn-bTTpaV3B4uQ1Q/o.jpg,False,https://www.yelp.com/biz/le-conciliabule-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,14,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.5,[],,+14379811800,+1 437-981-1800,903.6090778135728,43.671365,-79.3272249,1300 Gerrard Street E,,,Toronto,M4L 1Y7,CA,ON,"['1300 Gerrard Street E', 'Toronto, ON M4L 1Y7', 'Canada']"
7,NPYcvTJxIKpzKvr0rRFdzw,mississauga-creative-craft-beer-festival-mississauga,Mississauga Creative Craft Beer Festival,https://s3-media1.fl.yelpcdn.com/bphoto/ZdcsVx2gXkSAOPv3E8w09Q/o.jpg,False,https://www.yelp.com/biz/mississauga-creative-craft-beer-festival-mississauga?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,1,"[{'alias': 'festivals', 'title': 'Festivals'}]",4.0,[],,,,884.3189534142692,43.6636220658323,-79.3090405,1352 Lakeshore Boulevard E,,,Mississauga,L5E 1E9,CA,ON,"['1352 Lakeshore Boulevard E', 'Mississauga, ON L5E 1E9', 'Canada']"
8,w9pwbsusI9DI637UYqMctQ,blood-brothers-brewing-toronto,Blood Brothers Brewing,https://s3-media4.fl.yelpcdn.com/bphoto/6bxzVc_WYOgRt1iH4JXXrQ/o.jpg,False,https://www.yelp.com/biz/blood-brothers-brewing-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,51,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],$$,+16476286062,+1 647-628-6062,804.9697355976938,43.66984,-79.4361799,165 Geary Avenue,,,Toronto,M6K 2L4,CA,ON,"['165 Geary Avenue', 'Toronto, ON M6K 2L4', 'Canada']"
9,5dCc97soE5SUbHagsf6BXg,the-greater-good-bar-toronto,The Greater Good Bar,https://s3-media1.fl.yelpcdn.com/bphoto/-NShLwX1Lonu12WBfn-FeQ/o.jpg,False,https://www.yelp.com/biz/the-greater-good-bar-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,53,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,[],$$,+16473482339,+1 647-348-2339,604.2489921990292,43.6692689674341,-79.4390478949696,229 Geary Avenue,,,Toronto,M6H 2C3,CA,ON,"['229 Geary Avenue', 'Toronto, ON M6H 2C3', 'Canada']"
