,fsq_id,link,name,popularity,price,rating,verified,latitude,longitude,total_photos,total_ratings,total_tips
0,58d4650e2f91cb5ccec03447,/v3/places/58d4650e2f91cb5ccec03447,Rorschach Brewing,0.9865003605607636,2.0,8.5,False,43.663372,-79.319902,157.0,50.0,9.0
1,5b3af4f125fb7b0039f9f588,/v3/places/5b3af4f125fb7b0039f9f588,Black Lab Brewing,0.9733307258882629,2.0,9.2,False,43.661871,-79.329063,72.0,36.0,14.0
2,5957bd26d1a40251f53875e5,/v3/places/5957bd26d1a40251f53875e5,Godspeed Brewery,0.9636750308615569,2.0,8.1,False,43.672563,-79.319341,216.0,62.0,11.0
5,568333d5498e400ae0f1a732,/v3/places/568333d5498e400ae0f1a732,Blood Brothers Brewing,0.9714179204810736,2.0,8.9,True,43.669939,-79.436128,212.0,78.0,11.0
9,5753753b498eeb535c53aed5,/v3/places/5753753b498eeb535c53aed5,The Greater Good Bar,0.9531576567217082,2.0,8.9,False,43.669324,-79.439163,53.0,61.0,8.0
12,4a9f21c0f964a520a63c20e3,/v3/places/4a9f21c0f964a520a63c20e3,The 3 Brewers,0.9875331532566581,2.0,7.4,True,43.655472,-79.380321,661.0,618.0,159.0
18,4b5ca7d8f964a5207c3c29e3,/v3/places/4b5ca7d8f964a5207c3c29e3,Beer Bistro,0.9890731755014239,2.0,8.8,True,43.649463,-79.377261,649.0,472.0,130.0
19,4ad4c05cf964a520e3f520e3,/v3/places/4ad4c05cf964a520e3f520e3,C'est What,0.9756590928535634,2.0,8.3,True,43.648393,-79.373445,1190.0,458.0,111.0
20,5a8f505eb6eedb5c284a78ad,/v3/places/5a8f505eb6eedb5c284a78ad,Walrus Pub & Beer Hall,0.9841231040003912,1.0,8.2,False,43.6475,-79.379567,59.0,57.0,9.0
21,4ab2b0b9f964a520e56b20e3,/v3/places/4ab2b0b9f964a520e56b20e3,The Queen and Beaver Public House,0.9684784335773738,2.0,8.5,False,43.65738,-79.38343,226.0,355.0,116.0
24,4add3b20f964a520b16421e3,/v3/places/4add3b20f964a520b16421e3,House on Parliament,0.9693890022855886,1.0,8.9,False,43.663671,-79.367878,237.0,282.0,92.0
25,4a88a344f964a520400720e3,/v3/places/4a88a344f964a520400720e3,O'Grady's Restaurant,0.9727440507473997,2.0,6.7,False,43.664491,-79.380587,201.0,194.0,45.0
26,4ad9ffbbf964a520091d21e3,/v3/places/4ad9ffbbf964a520091d21e3,Jack Astor's,0.9961805003850056,2.0,7.4,True,43.656641,-79.38046,587.0,436.0,112.0
28,4ada0042f964a520111d21e3,/v3/places/4ada0042f964a520111d21e3,Jack Astor’s,0.9833714264761602,2.0,6.9,True,43.670834,-79.386788,248.0,211.0,49.0
